Linux 6.14.0-37-generic (sameer-HP-Pavilion-Laptop-15-eg2xxx) 	02/03/2026 	_x86_64_	(16 CPU)

06:49:03 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:52:58 PM  all   28.28    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   67.68
06:52:59 PM  all   45.54    0.99    1.98    0.00    0.00    0.99    0.00    0.00    0.00   50.50
06:53:00 PM  all   32.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   64.00
06:53:01 PM  all   44.90    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   53.06
06:53:02 PM  all   28.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   68.00
06:53:03 PM  all   33.33    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   62.63
06:53:04 PM  all   35.35    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   59.60
06:53:05 PM  all   43.56    0.00    3.96    0.00    0.00    1.98    0.00    0.00    0.00   50.50
06:53:06 PM  all   49.49    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   46.46
06:53:07 PM  all   41.41    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   53.54
06:53:08 PM  all   48.51    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00   46.53
06:53:09 PM  all   45.45    0.00    3.03    0.00    0.00    2.02    0.00    0.00    0.00   49.49
06:53:10 PM  all   41.00    0.00    3.00    0.00    0.00    2.00    0.00    0.00    0.00   54.00
06:53:11 PM  all   35.00    0.00    4.00    2.00    0.00    1.00    0.00    0.00    0.00   58.00
06:53:12 PM  all   28.28    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   67.68
06:53:13 PM  all   45.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   53.00
06:53:14 PM  all   42.57    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00   53.47
06:53:15 PM  all   41.41    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   56.57
06:53:16 PM  all   26.26    0.00    3.03    2.02    0.00    1.01    0.00    0.00    0.00   67.68
06:53:17 PM  all   45.45    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   49.49
06:53:18 PM  all   38.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   57.00
06:53:19 PM  all   38.78    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   58.16
06:53:20 PM  all   48.00    0.00    4.00    0.00    0.00    2.00    0.00    0.00    0.00   46.00
06:53:21 PM  all   40.00    0.00    4.00    0.00    0.00    2.00    0.00    0.00    0.00   54.00
06:53:22 PM  all   36.36    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   59.60
06:53:23 PM  all   50.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   45.00
