Users,ResponseTime_mean,ResponseTime_ci_lo,ResponseTime_ci_hi,ResponseTime_n,Throughput_mean,Throughput_ci_lo,Throughput_ci_hi,Throughput_n,Goodput_mean,Goodput_ci_lo,Goodput_ci_hi,Goodput_n,Badput_mean,Badput_ci_lo,Badput_ci_hi,Badput_n,Timeouts_mean,Timeouts_ci_lo,Timeouts_ci_hi,Timeouts_n,Util_mean,Util_ci_lo,Util_ci_hi,Util_n
1100,13.5717,13.5202,13.6232,15,65.5075,65.2807,65.7343,15,64.1692,63.9201,64.4182,15,1.33833,1.31043,1.36624,15,214.133,209.668,218.599,15,0.981953,0.981945,0.981961,15
1110,13.7261,13.6707,13.7815,15,65.4938,65.3,65.6875,15,64.1162,63.9018,64.3307,15,1.3775,1.34207,1.41293,15,220.4,214.731,226.069,15,0.981953,0.981944,0.981961,15
1120,13.9008,13.842,13.9596,15,65.3338,65.0936,65.5739,15,63.8675,63.5791,64.1559,15,1.46625,1.41132,1.52118,15,234.6,225.811,243.389,15,0.981955,0.98195,0.981961,15
1130,13.9787,13.905,14.0525,15,65.6625,65.3698,65.9552,15,64.1767,63.8454,64.5079,15,1.48583,1.43618,1.53549,15,237.733,229.788,245.678,15,0.981959,0.981948,0.981969,15
1140,14.1606,14.0928,14.2284,15,65.5312,65.2892,65.7733,15,64.0121,63.7291,64.2951,15,1.51917,1.47015,1.56818,15,243.067,235.225,250.909,15,0.981958,0.98195,0.981966,15
1150,14.3285,14.2497,14.4073,15,65.4654,65.1598,65.771,15,63.8467,63.513,64.1804,15,1.61875,1.58335,1.65415,15,259,253.336,264.664,15,0.981952,0.981941,0.981963,15
1160,14.4785,14.4004,14.5565,15,65.4954,65.1851,65.8057,15,63.8054,63.4253,64.1855,15,1.69,1.61145,1.76855,15,270.4,257.831,282.969,15,0.981953,0.981943,0.981963,15
1170,14.5874,14.5317,14.6432,15,65.6429,65.4597,65.8261,15,63.9096,63.6912,64.1279,15,1.73333,1.68543,1.78124,15,277.333,269.668,284.999,15,0.981957,0.981949,0.981966,15
1180,14.7621,14.6936,14.8306,15,65.565,65.3048,65.8252,15,63.6796,63.3937,63.9655,15,1.88542,1.82925,1.94159,15,301.667,292.68,310.654,15,0.981955,0.981947,0.981964,15
1190,14.8877,14.816,14.9593,15,65.6271,65.3713,65.8828,15,63.7175,63.4067,64.0283,15,1.90958,1.84342,1.97574,15,305.533,294.948,316.119,15,0.981951,0.98194,0.981963,15
1200,14.9995,14.924,15.0749,15,65.7571,65.4804,66.0338,15,63.83,63.4892,64.1708,15,1.92708,1.85723,1.99693,15,308.333,297.157,319.509,15,0.981958,0.981949,0.981967,15
1210,15.2513,15.1608,15.3418,15,65.4158,65.1174,65.7143,15,63.2958,62.9131,63.6785,15,2.12,2.0295,2.2105,15,339.2,324.72,353.68,15,0.981945,0.981937,0.981954,15
1220,15.4231,15.3551,15.491,15,65.3379,65.1119,65.564,15,63.1138,62.8226,63.4049,15,2.22417,2.14921,2.29913,15,355.867,343.873,367.86,15,0.981947,0.981939,0.981954,15
1230,15.4834,15.409,15.5578,15,65.6871,65.4416,65.9326,15,63.4258,63.1206,63.731,15,2.26125,2.18966,2.33284,15,361.8,350.346,373.254,15,0.981957,0.981951,0.981963,15
1240,15.722,15.6306,15.8133,15,65.3575,65.0341,65.6809,15,62.9583,62.5653,63.3514,15,2.39917,2.31901,2.47933,15,383.867,371.041,396.692,15,0.98195,0.981937,0.981963,15
1250,15.804,15.7215,15.8865,15,65.5763,65.2741,65.8784,15,63.1183,62.7447,63.492,15,2.45792,2.37576,2.54007,15,393.267,380.122,406.412,15,0.981956,0.981947,0.981965,15
1260,16.0023,15.9242,16.0805,15,65.3771,65.1004,65.6538,15,62.755,62.417,63.093,15,2.62208,2.55008,2.69408,15,419.533,408.013,431.053,15,0.981945,0.981936,0.981954,15
1270,16.078,16.0042,16.1518,15,65.6279,65.4008,65.855,15,62.9542,62.6487,63.2596,15,2.67375,2.58666,2.76084,15,427.8,413.866,441.734,15,0.981952,0.981943,0.981961,15
1280,16.248,16.1851,16.3108,15,65.5854,65.3681,65.8027,15,62.8646,62.6042,63.1249,15,2.72083,2.66057,2.7811,15,435.333,425.691,444.975,15,0.981959,0.981948,0.98197,15
